Channel ID,Channel Name,Video Count,RSS Feed URL,YouTube URL
UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCJS9pqu9BzkAMNTmzNMNhvg,https://www.youtube.com/channel/UCJS9pqu9BzkAMNTmzNMNhvg
UCyaN6mg5u8Cjy2ZI4ikWaug,My First Million,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCyaN6mg5u8Cjy2ZI4ikWaug,https://www.youtube.com/channel/UCyaN6mg5u8Cjy2ZI4ikWaug
UC1weYqfDgX0ALlNOSzcyblQ,ManuAGI - AutoGPT Tutorials,3,https://www.youtube.com/feeds/videos.xml?channel_id=UC1weYqfDgX0ALlNOSzcyblQ,https://www.youtube.com/channel/UC1weYqfDgX0ALlNOSzcyblQ
UCHkzp52CldSPZqU5T49mOnA,Mark Kashef,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCHkzp52CldSPZqU5T49mOnA,https://www.youtube.com/channel/UCHkzp52CldSPZqU5T49mOnA
UCF7fVZmwNUgL7BFH56PnigQ,theailanguage,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCF7fVZmwNUgL7BFH56PnigQ,https://www.youtube.com/channel/UCF7fVZmwNUgL7BFH56PnigQ
UCn8ujwUInbJkBhffxqAPBVQ,Dave Ebbelaar,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCn8ujwUInbJkBhffxqAPBVQ,https://www.youtube.com/channel/UCn8ujwUInbJkBhffxqAPBVQ
UC1RO76_HDT13u-lPXOA0t9A,Tech Friend AJ,3,https://www.youtube.com/feeds/videos.xml?channel_id=UC1RO76_HDT13u-lPXOA0t9A,https://www.youtube.com/channel/UC1RO76_HDT13u-lPXOA0t9A
UCIqqIb7M6_6EoQ5s3BobT8Q,The Feature Crew,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCIqqIb7M6_6EoQ5s3BobT8Q,https://www.youtube.com/channel/UCIqqIb7M6_6EoQ5s3BobT8Q
UCNTVzV1InxHV-YR0fSajqPQ,Supabase,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCNTVzV1InxHV-YR0fSajqPQ,https://www.youtube.com/channel/UCNTVzV1InxHV-YR0fSajqPQ
UC3xGUI2ENj-86adpm-USKbg,LLMs for Devs,3,https://www.youtube.com/feeds/videos.xml?channel_id=UC3xGUI2ENj-86adpm-USKbg,https://www.youtube.com/channel/UC3xGUI2ENj-86adpm-USKbg
UCcXAhu4M6Zqc0GU3sVacPhw,Zahiruddin Tavargere,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCcXAhu4M6Zqc0GU3sVacPhw,https://www.youtube.com/channel/UCcXAhu4M6Zqc0GU3sVacPhw
UCGpsgNbzdF7BECCVbB1COHw,Julian Goldie SEO,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCGpsgNbzdF7BECCVbB1COHw,https://www.youtube.com/channel/UCGpsgNbzdF7BECCVbB1COHw
UC98CzaYuFNAA_gOINFB0e4Q,EuroPython Conference,3,https://www.youtube.com/feeds/videos.xml?channel_id=UC98CzaYuFNAA_gOINFB0e4Q,https://www.youtube.com/channel/UC98CzaYuFNAA_gOINFB0e4Q
UCvVZ19DRSLIC2-RUOeWx8ug,Jie Jenn,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCvVZ19DRSLIC2-RUOeWx8ug,https://www.youtube.com/channel/UCvVZ19DRSLIC2-RUOeWx8ug
UCPGrgwfbkjTIgPoOh2q1BAg,David Ondrej,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCPGrgwfbkjTIgPoOh2q1BAg,https://www.youtube.com/channel/UCPGrgwfbkjTIgPoOh2q1BAg
UCn5fhcGRrCvrmFibPbT6q1A,Brian Lagerstrom ,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCn5fhcGRrCvrmFibPbT6q1A,https://www.youtube.com/channel/UCn5fhcGRrCvrmFibPbT6q1A
UCuGxbFmuThl3vWO-tozt43A,Coding Crash Courses,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCuGxbFmuThl3vWO-tozt43A,https://www.youtube.com/channel/UCuGxbFmuThl3vWO-tozt43A
UCSv4qL8vmoSH7GaPjuqRiCQ,Arseny Shatokhin,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCSv4qL8vmoSH7GaPjuqRiCQ,https://www.youtube.com/channel/UCSv4qL8vmoSH7GaPjuqRiCQ
UCxZEC_fR0VrefLmtiJPBTBA,VinciBits,3,https://www.youtube.com/feeds/videos.xml?channel_id=UCxZEC_fR0VrefLmtiJPBTBA,https://www.youtube.com/channel/UCxZEC_fR0VrefLmtiJPBTBA
UCY0w_qU4qO5MgHpEkpRLocg,Craig Hewitt,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCY0w_qU4qO5MgHpEkpRLocg,https://www.youtube.com/channel/UCY0w_qU4qO5MgHpEkpRLocg
UC-kM5kL9CgjN9s9pim089gg,Adam Conover,2,https://www.youtube.com/feeds/videos.xml?channel_id=UC-kM5kL9CgjN9s9pim089gg,https://www.youtube.com/channel/UC-kM5kL9CgjN9s9pim089gg
UCOXRjenlq9PmlTqd_JhAbMQ,Eric Tech,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCOXRjenlq9PmlTqd_JhAbMQ,https://www.youtube.com/channel/UCOXRjenlq9PmlTqd_JhAbMQ
UCOEqiv0-yg_hx0nJiaWJK4Q,Kenny Liao,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCOEqiv0-yg_hx0nJiaWJK4Q,https://www.youtube.com/channel/UCOEqiv0-yg_hx0nJiaWJK4Q
UCp38w5n099xkvoqciOaeFag,Taylor Lorenz,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCp38w5n099xkvoqciOaeFag,https://www.youtube.com/channel/UCp38w5n099xkvoqciOaeFag
UC70SrI3VkT1MXALRtf0pcHg,Thomas DeLauer,2,https://www.youtube.com/feeds/videos.xml?channel_id=UC70SrI3VkT1MXALRtf0pcHg,https://www.youtube.com/channel/UC70SrI3VkT1MXALRtf0pcHg
UCqZMJXEtBw0umDvzFQ8oXtQ,Letta,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCqZMJXEtBw0umDvzFQ8oXtQ,https://www.youtube.com/channel/UCqZMJXEtBw0umDvzFQ8oXtQ
UCxVxcTULO9cFU6SB9qVaisQ,Jack Roberts,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCxVxcTULO9cFU6SB9qVaisQ,https://www.youtube.com/channel/UCxVxcTULO9cFU6SB9qVaisQ
UCH1kIzuOiRii_OwMet-DBZg,Chef Billy Parisi,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCH1kIzuOiRii_OwMet-DBZg,https://www.youtube.com/channel/UCH1kIzuOiRii_OwMet-DBZg
UClbsdjQcVS_696NLB_z9_ug,The Dev Logger,2,https://www.youtube.com/feeds/videos.xml?channel_id=UClbsdjQcVS_696NLB_z9_ug,https://www.youtube.com/channel/UClbsdjQcVS_696NLB_z9_ug
UCnpBg7yqNauHtlNSpOl5-cg,Peter Yang,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCnpBg7yqNauHtlNSpOl5-cg,https://www.youtube.com/channel/UCnpBg7yqNauHtlNSpOl5-cg
UCOCahKBCEUuzDJawM7yN1dg,Bijan Bowen,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCOCahKBCEUuzDJawM7yN1dg,https://www.youtube.com/channel/UCOCahKBCEUuzDJawM7yN1dg
UC8F7X90NDmMr1mGx8897r_A,Bart Slodyczka,2,https://www.youtube.com/feeds/videos.xml?channel_id=UC8F7X90NDmMr1mGx8897r_A,https://www.youtube.com/channel/UC8F7X90NDmMr1mGx8897r_A
UCwU4Z4vzyvY4XzNUjTi0SUg,Coding the Future With AI,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCwU4Z4vzyvY4XzNUjTi0SUg,https://www.youtube.com/channel/UCwU4Z4vzyvY4XzNUjTi0SUg
UCD4EOyXKjfDUhCI6jlOZZYQ,Eli the Computer Guy,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCD4EOyXKjfDUhCI6jlOZZYQ,https://www.youtube.com/channel/UCD4EOyXKjfDUhCI6jlOZZYQ
UCfQNB91qRP_5ILeu_S_bSkg,Alex Finn,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCfQNB91qRP_5ILeu_S_bSkg,https://www.youtube.com/channel/UCfQNB91qRP_5ILeu_S_bSkg
